Pair,Judge,segment,Score
Shen Xue / Zhao Hongbo-CHN,Hideo Sugita-JPN,Free Skating,17
Tatyana Totmyanina / Maksim Marinin-RUS,Marina Sanaya-RUS,Free Skating,16
Tatyana Totmyanina / Maksim Marinin-RUS,Yang Jiasheng-CHN,Free Skating,15
Tatyana Totmyanina / Maksim Marinin-RUS,Lucy Brennan-USA,Free Skating,15
Tatyana Totmyanina / Maksim Marinin-RUS,Marie-Reine Le Gougne-FRA,Free Skating,16
Tatyana Totmyanina / Maksim Marinin-RUS,Anna Sierocka-POL,Free Skating,16
Tatyana Totmyanina / Maksim Marinin-RUS,Beno?t Lavoie-CAN,Free Skating,13
Tatyana Totmyanina / Maksim Marinin-RUS,Vladyslav Petukhov-UKR,Free Skating,16
Tatyana Totmyanina / Maksim Marinin-RUS,Sissy Krick-GER,Free Skating,15
Tatyana Totmyanina / Maksim Marinin-RUS,Hideo Sugita-JPN,Free Skating,16
Kyoko Ina / John Zimmerman-USA,Marina Sanaya-RUS,Free Skating,14
Kyoko Ina / John Zimmerman-USA,Yang Jiasheng-CHN,Free Skating,16
Kyoko Ina / John Zimmerman-USA,Lucy Brennan-USA,Free Skating,16
Kyoko Ina / John Zimmerman-USA,Marie-Reine Le Gougne-FRA,Free Skating,15
Kyoko Ina / John Zimmerman-USA,Anna Sierocka-POL,Free Skating,15
Kyoko Ina / John Zimmerman-USA,Beno?t Lavoie-CAN,Free Skating,16
Kyoko Ina / John Zimmerman-USA,Vladyslav Petukhov-UKR,Free Skating,15
Kyoko Ina / John Zimmerman-USA,Sissy Krick-GER,Free Skating,16
Kyoko Ina / John Zimmerman-USA,Hideo Sugita-JPN,Free Skating,15
Mariya Petrova / Aleksey Tikhonov-RUS,Marina Sanaya-RUS,Free Skating,15
Mariya Petrova / Aleksey Tikhonov-RUS,Yang Jiasheng-CHN,Free Skating,13
Mariya Petrova / Aleksey Tikhonov-RUS,Lucy Brennan-USA,Free Skating,13
Mariya Petrova / Aleksey Tikhonov-RUS,Marie-Reine Le Gougne-FRA,Free Skating,14
Mariya Petrova / Aleksey Tikhonov-RUS,Anna Sierocka-POL,Free Skating,14
Mariya Petrova / Aleksey Tikhonov-RUS,Beno?t Lavoie-CAN,Free Skating,15
Mariya Petrova / Aleksey Tikhonov-RUS,Vladyslav Petukhov-UKR,Free Skating,14
Mariya Petrova / Aleksey Tikhonov-RUS,Sissy Krick-GER,Free Skating,14
Mariya Petrova / Aleksey Tikhonov-RUS,Hideo Sugita-JPN,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Marina Sanaya-RUS,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Yang Jiasheng-CHN,Free Skating,14
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Lucy Brennan-USA,Free Skating,14
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Marie-Reine Le Gougne-FRA,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Anna Sierocka-POL,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Beno?t Lavoie-CAN,Free Skating,14
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Vladyslav Petukhov-UKR,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Sissy Krick-GER,Free Skating,13
Dorota Zag?rska-Siudek / Mariusz Siudek-POL,Hideo Sugita-JPN,Free Skating,14
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Marina Sanaya-RUS,Free Skating,11
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Yang Jiasheng-CHN,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Lucy Brennan-USA,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Marie-Reine Le Gougne-FRA,Free Skating,11
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Anna Sierocka-POL,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Beno?t Lavoie-CAN,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Vladyslav Petukhov-UKR,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Sissy Krick-GER,Free Skating,12
Kate?ina Ber?nkov? / Otto Dlabola-CZE,Hideo Sugita-JPN,Free Skating,12
Pang Qing / Tong Jian-CHN,Marina Sanaya-RUS,Free Skating,12
Pang Qing / Tong Jian-CHN,Yang Jiasheng-CHN,Free Skating,11
Pang Qing / Tong Jian-CHN,Lucy Brennan-USA,Free Skating,11
Pang Qing / Tong Jian-CHN,Marie-Reine Le Gougne-FRA,Free Skating,12
Pang Qing / Tong Jian-CHN,Anna Sierocka-POL,Free Skating,10
Pang Qing / Tong Jian-CHN,Beno?t Lavoie-CAN,Free Skating,10
Pang Qing / Tong Jian-CHN,Vladyslav Petukhov-UKR,Free Skating,11
Pang Qing / Tong Jian-CHN,Sissy Krick-GER,Free Skating,11
Pang Qing / Tong Jian-CHN,Hideo Sugita-JPN,Free Skating,11
Jacinthe Larivi?re / Lenny Faustino-CAN,Marina Sanaya-RUS,Free Skating,10
Jacinthe Larivi?re / Lenny Faustino-CAN,Yang Jiasheng-CHN,Free Skating,10
Jacinthe Larivi?re / Lenny Faustino-CAN,Lucy Brennan-USA,Free Skating,8
Jacinthe Larivi?re / Lenny Faustino-CAN,Marie-Reine Le Gougne-FRA,Free Skating,10
Jacinthe Larivi?re / Lenny Faustino-CAN,Anna Sierocka-POL,Free Skating,11
Jacinthe Larivi?re / Lenny Faustino-CAN,Beno?t Lavoie-CAN,Free Skating,11
Jacinthe Larivi?re / Lenny Faustino-CAN,Vladyslav Petukhov-UKR,Free Skating,10
Jacinthe Larivi?re / Lenny Faustino-CAN,Sissy Krick-GER,Free Skating,9
Jacinthe Larivi?re / Lenny Faustino-CAN,Hideo Sugita-JPN,Free Skating,8
Anabelle Langlois / Patrice Archetto-CAN,Marina Sanaya-RUS,Free Skating,8
Anabelle Langlois / Patrice Archetto-CAN,Yang Jiasheng-CHN,Free Skating,9
Anabelle Langlois / Patrice Archetto-CAN,Lucy Brennan-USA,Free Skating,10
Anabelle Langlois / Patrice Archetto-CAN,Marie-Reine Le Gougne-FRA,Free Skating,9
Anabelle Langlois / Patrice Archetto-CAN,Anna Sierocka-POL,Free Skating,9
Anabelle Langlois / Patrice Archetto-CAN,Beno?t Lavoie-CAN,Free Skating,9
Anabelle Langlois / Patrice Archetto-CAN,Vladyslav Petukhov-UKR,Free Skating,9
Anabelle Langlois / Patrice Archetto-CAN,Sissy Krick-GER,Free Skating,10
Anabelle Langlois / Patrice Archetto-CAN,Hideo Sugita-JPN,Free Skating,9
Zhang Dan / Zhang Hao-CHN,Marina Sanaya-RUS,Free Skating,9
Zhang Dan / Zhang Hao-CHN,Yang Jiasheng-CHN,Free Skating,7
Zhang Dan / Zhang Hao-CHN,Lucy Brennan-USA,Free Skating,7
Zhang Dan / Zhang Hao-CHN,Marie-Reine Le Gougne-FRA,Free Skating,8
